x,y,value,rgb_distance
0,0,,116.3228
0.630630631,0,,105.0476
1.26126126,0,,85.33464
1.89189189,0,,83.36066
2.52252252,0,,76.49183
3.15315315,0,,71.90271
3.78378378,0,,69.14478
4.41441441,0,,66.58829
5.04504505,0,,55.31727
5.67567568,0,,57.00877
6.30630631,0,,62.08059
6.93693694,0,,55.44367
7.56756757,0,,52.01923
8.1981982,0,,52.64029
8.82882883,0,,57.52391
9.45945946,0,,52.00961
10.0900901,0,,45.12206
10.7207207,0,,42.90688
11.3513514,0,,45.65085
11.981982,0,,42.2019
12.6126126,0,,39.11521
13.2432432,0,,44.14748
13.8738739,0,,40.2368
14.5045045,0,,38.32754
15.1351351,0,,37.62978
15.7657658,0,,38.37968
16.3963964,0,,37.48333
17.027027,0,1.07006369427e-06,34.71311
17.6576577,0,,35.14257
18.2882883,0,1.07006369427e-06,34.0294
18.9189189,0,,35.86084
19.5495495,0,8.66242038217e-07,32.09361
20.1801802,0,8.66242038217e-07,30.82207
20.8108108,0,8.66242038217e-07,23.21637
21.4414414,0,8.66242038217e-07,23.36664
22.0720721,0,8.66242038217e-07,20.63977
22.7027027,0,8.66242038217e-07,27.5318
23.3333333,0,8.66242038217e-07,23.68544
23.963964,0,,42.35564
24.5945946,0,1.07006369427e-06,29.03446
25.2252252,0,1.07006369427e-06,34.0147
25.8558559,0,8.15286624204e-07,14.96663
26.4864865,0,7.13375796178e-07,15.6205
27.1171171,0,7.13375796178e-07,19.23538
27.7477477,0,7.13375796178e-07,19.20937
28.3783784,0,,41.06093
29.009009,0,,41.78516
29.6396396,0,,46.76537
30.2702703,0,6.62420382166e-07,33.77869
30.9009009,0,,64.14047
31.5315315,0,,57.87055
32.1621622,0,,69.66348
32.7927928,0,,70.74602
33.4234234,0,,77.02597
34.0540541,0,,76.01316
34.6846847,0,,90.93954
35.3153153,0,,58.77074
35.9459459,0,,72.62231
36.5765766,0,,68.62944
37.2072072,0,,66.17401
37.8378378,0,,38.27532
38.4684685,0,,35.28456
39.0990991,0,7.79617834395e-06,32.66497
39.7297297,0,7.79617834395e-06,32.66497
40.3603604,0,7.79617834395e-06,32.69557
40.990991,0,7.79617834395e-06,31.44837
41.6216216,0,7.79617834395e-06,25.96151
42.2522523,0,7.79617834395e-06,23.72762
42.8828829,0,7.79617834395e-06,21.56386
43.5135135,0,7.79617834395e-06,21.47091
44.1441441,0,7.79617834395e-06,23.68544
44.7747748,0,7.79617834395e-06,21.47091
45.4054054,0,7.79617834395e-06,20.92845
46.036036,0,7.79617834395e-06,19.0263
46.6666667,0,7.84713375796e-06,11.18034
47.2972973,0,7.84713375796e-06,13.0384
47.9279279,0,7.84713375796e-06,11.09054
48.5585586,0,7.84713375796e-06,12.20656
49.1891892,0,,69.05795
49.8198198,0,,35.14257
50.4504505,0,,71.79136
51.0810811,0,,44.48595
51.7117117,0,3.36305732484e-06,27.22132
52.3423423,0,3.26114649682e-06,31.96873
52.972973,0,3.2101910828e-06,27.58623
53.6036036,0,3.15923566879e-06,33.98529
54.2342342,0,,37.33631
54.8648649,0,3.2101910828e-06,29.49576
55.4954955,0,,69.74955
56.1261261,0,,81.30806
56.7567568,0,,80.03124
57.3873874,0,7.13375796178e-07,14.14214
58.018018,0,1.01910828025e-07,21.61018
58.6486486,0,2.54777070064e-07,29.47881
59.2792793,0,0,22
59.9099099,0,0,9.69536
60.5405405,0,5.09554140127e-08,7.81025
61.1711712,0,0,8.3666
61.8018018,0,0,4.123106
62.4324324,0,0,7
63.0630631,0,0,1.414214
63.6936937,0,0,1.414214
64.3243243,0,0,1.414214
64.954955,0,0,1.414214
65.5855856,0,0,1.414214
66.2162162,0,0,1.414214
66.8468468,0,0,1.414214
67.4774775,0,0,1.414214
68.1081081,0,7.79617834395e-06,1.414214
68.7387387,0,7.89808917197e-06,0
69.3693694,0,7.89808917197e-06,0
70,0,7.89808917197e-06,0
0,-0.425531915,,125.6583
0.630630631,-0.425531915,,109.6358
1.26126126,-0.425531915,,100.4241
1.89189189,-0.425531915,,97.06699
2.52252252,-0.425531915,,79.62412
3.15315315,-0.425531915,,81.02469
3.78378378,-0.425531915,,77.94229
4.41441441,-0.425531915,,71.72866
5.04504505,-0.425531915,,71.3162
5.67567568,-0.425531915,,68.91299
6.30630631,-0.425531915,,70.66824
6.93693694,-0.425531915,,63.25346
7.56756757,-0.425531915,,57.28874
8.1981982,-0.425531915,,57.45433
8.82882883,-0.425531915,,60.34899
9.45945946,-0.425531915,,56.85948
