x,y,value,rgb_distance
0,20,0,1
0.630630631,20,0,1
1.26126126,20,0,1
1.89189189,20,0,1
2.52252252,20,0,1
3.15315315,20,0,1
3.78378378,20,0,1
4.41441441,20,0,1
5.04504505,20,0,1
5.67567568,20,0,1
6.30630631,20,0,1
6.93693694,20,0,1
7.56756757,20,0,1
8.1981982,20,0,1
8.82882883,20,0,1
9.45945946,20,0,1
10.0900901,20,0,1
10.7207207,20,0,1
11.3513514,20,0,1
11.981982,20,0,1
12.6126126,20,0,1
13.2432432,20,0,1
13.8738739,20,0,1
14.5045045,20,0,1
15.1351351,20,0,1
15.7657658,20,0,1
16.3963964,20,0,1
17.027027,20,0,1
17.6576577,20,0,1
18.2882883,20,0,1
18.9189189,20,,58.54912
19.5495495,20,0,1
20.1801802,20,0,1
20.8108108,20,0,1
21.4414414,20,0,1
22.0720721,20,0,1
22.7027027,20,0,1
23.3333333,20,0,1
23.963964,20,0,1
24.5945946,20,0,1
25.2252252,20,0,1
25.8558559,20,0,1
26.4864865,20,0,1
27.1171171,20,0,1
27.7477477,20,0,1
28.3783784,20,0,1
29.009009,20,0,1
29.6396396,20,0,1
30.2702703,20,0,1
30.9009009,20,0,1
31.5315315,20,0,1
32.1621622,20,0,1
32.7927928,20,0,1
33.4234234,20,0,1
34.0540541,20,0,1
34.6846847,20,0,1
35.3153153,20,0,1
35.9459459,20,0,1
36.5765766,20,0,1
37.2072072,20,0,1
37.8378378,20,0,1
38.4684685,20,,143.035
39.0990991,20,0,1
39.7297297,20,0,1
40.3603604,20,0,1
40.990991,20,0,1
41.6216216,20,0,1
42.2522523,20,0,1
42.8828829,20,0,1
43.5135135,20,0,1
44.1441441,20,0,1
44.7747748,20,0,1
45.4054054,20,0,1
46.036036,20,0,1
46.6666667,20,0,1
47.2972973,20,0,1
47.9279279,20,0,1
48.5585586,20,0,1
49.1891892,20,0,1
49.8198198,20,0,1
50.4504505,20,0,1
51.0810811,20,0,1
51.7117117,20,0,1
52.3423423,20,0,1
52.972973,20,0,1
53.6036036,20,0,1
54.2342342,20,0,1
54.8648649,20,0,1
55.4954955,20,0,1
56.1261261,20,0,1
56.7567568,20,0,1
57.3873874,20,0,1
58.018018,20,0,1
58.6486486,20,0,1
59.2792793,20,0,1
59.9099099,20,0,1
60.5405405,20,0,1
61.1711712,20,0,1
61.8018018,20,0,1
62.4324324,20,0,1
63.0630631,20,0,1
63.6936937,20,0,1
64.3243243,20,0,1
64.954955,20,0,1
65.5855856,20,0,1
66.2162162,20,0,1
66.8468468,20,0,1
67.4774775,20,0,1
68.1081081,20,7.79617834395e-06,2.236068
68.7387387,20,7.89808917197e-06,0
69.3693694,20,7.89808917197e-06,0
70,20,7.89808917197e-06,0
0,19.5744681,0,1
0.630630631,19.5744681,0,1
1.26126126,19.5744681,0,1
1.89189189,19.5744681,0,1
2.52252252,19.5744681,0,1
3.15315315,19.5744681,0,1
3.78378378,19.5744681,0,1
4.41441441,19.5744681,0,1
5.04504505,19.5744681,0,1
5.67567568,19.5744681,0,1
6.30630631,19.5744681,0,1
6.93693694,19.5744681,0,1
7.56756757,19.5744681,0,1
8.1981982,19.5744681,0,1
8.82882883,19.5744681,0,1
9.45945946,19.5744681,0,1
10.0900901,19.5744681,0,1
10.7207207,19.5744681,0,1
11.3513514,19.5744681,0,1
11.981982,19.5744681,0,1
12.6126126,19.5744681,0,1
13.2432432,19.5744681,0,1
13.8738739,19.5744681,0,1
14.5045045,19.5744681,0,1
15.1351351,19.5744681,0,1
15.7657658,19.5744681,0,1
16.3963964,19.5744681,0,1
17.027027,19.5744681,0,1
17.6576577,19.5744681,0,1
18.2882883,19.5744681,0,1
18.9189189,19.5744681,,58.54912
19.5495495,19.5744681,0,1
20.1801802,19.5744681,0,1
20.8108108,19.5744681,0,1
21.4414414,19.5744681,0,1
22.0720721,19.5744681,0,1
22.7027027,19.5744681,0,1
23.3333333,19.5744681,0,1
23.963964,19.5744681,0,1
24.5945946,19.5744681,0,1
25.2252252,19.5744681,0,1
25.8558559,19.5744681,0,1
26.4864865,19.5744681,0,1
27.1171171,19.5744681,0,1
27.7477477,19.5744681,0,1
28.3783784,19.5744681,0,1
29.009009,19.5744681,0,1
29.6396396,19.5744681,0,1
30.2702703,19.5744681,0,1
30.9009009,19.5744681,0,1
31.5315315,19.5744681,0,1
32.1621622,19.5744681,0,1
32.7927928,19.5744681,0,1
33.4234234,19.5744681,0,1
34.0540541,19.5744681,0,1
34.6846847,19.5744681,0,1
35.3153153,19.5744681,0,1
35.9459459,19.5744681,0,1
36.5765766,19.5744681,0,1
37.2072072,19.5744681,0,1
37.8378378,19.5744681,0,1
38.4684685,19.5744681,,143.035
39.0990991,19.5744681,0,1
39.7297297,19.5744681,0,1
40.3603604,19.5744681,0,1
40.990991,19.5744681,0,1
41.6216216,19.5744681,0,1
42.2522523,19.5744681,0,1
42.8828829,19.5744681,0,1
43.5135135,19.5744681,0,1
44.1441441,19.5744681,0,1
44.7747748,19.5744681,0,1
45.4054054,19.5744681,0,1
46.036036,19.5744681,0,1
46.6666667,19.5744681,0,1
47.2972973,19.5744681,0,1
47.9279279,19.5744681,0,1
48.5585586,19.5744681,0,1
49.1891892,19.5744681,0,1
49.8198198,19.5744681,0,1
50.4504505,19.5744681,0,1
51.0810811,19.5744681,0,1
51.7117117,19.5744681,0,1
52.3423423,19.5744681,0,1
52.972973,19.5744681,0,1
53.6036036,19.5744681,0,1
54.2342342,19.5744681,0,1
54.8648649,19.5744681,0,1
55.4954955,19.5744681,0,1
56.1261261,19.5744681,0,1
56.7567568,19.5744681,0,1
57.3873874,19.5744681,0,1
58.018018,19.5744681,0,1
58.6486486,19.5744681,0,1
59.2792793,19.5744681,0,1
59.9099099,19.5744681,0,1
60.5405405,19.5744681,0,1
61.1711712,19.5744681,0,1
61.8018018,19.5744681,0,1
62.4324324,19.5744681,0,1
63.0630631,19.5744681,0,1
63.6936937,19.5744681,0,1
64.3243243,19.5744681,0,1
64.954955,19.5744681,0,1
65.5855856,19.5744681,0,1
66.2162162,19.5744681,0,1
66.8468468,19.5744681,0,1
67.4774775,19.5744681,0,1
68.1081081,19.5744681,7.79617834395e-06,1.414214
68.7387387,19.5744681,7.89808917197e-06,0
69.3693694,19.5744681,7.89808917197e-06,0
70,19.5744681,7.89808917197e-06,0
0,19.1489362,0,1
0.630630631,19.1489362,0,1
1.26126126,19.1489362,0,1
1.89189189,19.1489362,0,1
2.52252252,19.1489362,0,1
3.15315315,19.1489362,0,1
3.78378378,19.1489362,0,1
4.41441441,19.1489362,0,1
5.04504505,19.1489362,0,1
5.67567568,19.1489362,0,1
6.30630631,19.1489362,0,1
6.93693694,19.1489362,0,1
7.56756757,19.1489362,0,1
8.1981982,19.1489362,0,1
8.82882883,19.1489362,0,1
9.45945946,19.1489362,0,1
10.0900901,19.1489362,0,1
10.7207207,19.1489362,0,1
11.3513514,19.1489362,0,1
11.981982,19.1489362,0,1
12.6126126,19.1489362,0,1
13.2432432,19.1489362,0,1
13.8738739,19.1489362,0,1
14.5045045,19.1489362,0,1
15.1351351,19.1489362,0,1
15.7657658,19.1489362,0,1
16.3963964,19.1489362,0,1
17.027027,19.1489362,0,1
17.6576577,19.1489362,0,1
18.2882883,19.1489362,0,1
18.9189189,19.1489362,,58.54912
19.5495495,19.1489362,0,1
20.1801802,19.1489362,0,1
20.8108108,19.1489362,0,1
21.4414414,19.1489362,0,1
22.0720721,19.1489362,0,1
22.7027027,19.1489362,0,1
23.3333333,19.1489362,0,1
23.963964,19.1489362,0,1
24.5945946,19.1489362,0,1
25.2252252,19.1489362,0,1
25.8558559,19.1489362,0,1
26.4864865,19.1489362,0,1
27.1171171,19.1489362,0,1
27.7477477,19.1489362,0,1
28.3783784,19.1489362,0,1
29.009009,19.1489362,0,1
29.6396396,19.1489362,0,1
30.2702703,19.1489362,0,1
30.9009009,19.1489362,0,1
31.5315315,19.1489362,0,1
32.1621622,19.1489362,0,1
32.7927928,19.1489362,0,1
33.4234234,19.1489362,0,1
34.0540541,19.1489362,0,1
34.6846847,19.1489362,0,1
