x_m,case1_JL_temperature_K,case2_SKEL_temperature_K
0,,62.7802691
0.000367346939,,62.7802691
0.000734693878,,62.7802691
0.00110204082,,62.7802691
0.00146938776,,62.7802691
0.00183673469,94.1704036,62.7802691
0.00220408163,,70.6278027
0.00257142857,,70.6278027
0.00293877551,,70.6278027
0.00330612245,,70.6278027
0.00367346939,,70.6278027
0.00404081633,,86.32287
0.00440816327,,86.32287
0.0047755102,,102.017937
0.00514285714,,102.017937
0.00551020408,78.4753363,102.017937
0.00587755102,78.4753363,117.713004
0.00624489796,86.32287,117.713004
0.0066122449,86.32287,117.713004
0.00697959184,86.32287,133.408072
0.00734693878,86.32287,133.408072
0.00771428571,94.1704036,133.408072
0.00808163265,3217.48879,156.950673
0.00844897959,3217.48879,3044.84305
0.00881632653,3217.48879,1608.74439
0.00918367347,1671.52466,1608.74439
0.00955102041,1671.52466,3044.84305
0.00991836735,1671.52466,1616.59193
0.0102857143,3217.48879,3044.84305
0.0106530612,3217.48879,3044.84305
0.0110204082,3217.48879,1632.287
0.0113877551,3217.48879,1632.287
0.011755102,1679.3722,1640.13453
0.012122449,1679.3722,3044.84305
0.0124897959,3217.48879,1647.98206
0.0128571429,3217.48879,1647.98206
0.0132244898,1687.21973,3044.84305
0.0135918367,1687.21973,3044.84305
0.0139591837,3217.48879,3044.84305
0.0143265306,3217.48879,3044.84305
0.0146938776,3217.48879,3044.84305
0.0150612245,1695.06726,1671.52466
0.0154285714,1695.06726,3044.84305
0.0157959184,3217.48879,1679.3722
0.0161632653,3217.48879,1687.21973
0.0165306122,1702.9148,1695.06726
0.0168979592,3217.48879,1702.9148
0.0172653061,3217.48879,1710.76233
0.0176326531,1710.76233,1718.60987
0.018,3217.48879,1726.4574
0.0183673469,1718.60987,1734.30493
0.0187346939,3217.48879,1742.15247
0.0191020408,3217.48879,1750
0.0194693878,1726.4574,1757.84753
0.0198367347,1726.4574,1765.69507
0.0202040816,3217.48879,1773.5426
0.0205714286,3217.48879,1781.39013
0.0209387755,3217.48879,1789.23767
0.0213061224,1734.30493,565.022422
0.0216734694,1742.15247,1804.93274
0.0220408163,1750,596.412556
0.0224081633,290.358744,604.26009
0.0227755102,298.206278,612.107623
0.0231428571,329.596413,635.650224
0.0235102041,337.443946,651.345291
0.023877551,360.986547,667.040359
0.024244898,376.681614,682.735426
0.0246122449,392.376682,714.125561
0.0249795918,415.919283,737.668161
0.0253469388,431.61435,753.363229
0.0257142857,455.156951,769.058296
0.0260816327,478.699552,792.600897
0.0264489796,502.242152,831.838565
0.0268163265,525.784753,855.381166
0.0271836735,541.479821,886.7713
0.0275510204,572.869955,918.161435
0.0279183673,604.26009,965.246637
0.0282857143,627.802691,996.636771
0.0286530612,643.497758,1035.87444
0.0290204082,674.887892,1082.95964
0.0293877551,706.278027,1130.04484
0.029755102,745.515695,1177.13004
0.030122449,784.753363,1216.36771
0.0304897959,823.991031,1247.75785
0.0308571429,855.381166,1310.53812
0.0312244898,902.466368,1349.77578
0.0315918367,949.55157,1389.01345
0.0319591837,980.941704,1428.25112
0.0323265306,1028.02691,1467.48879
0.0326938776,1075.11211,1506.72646
0.0330612245,1106.50224,1538.11659
0.0334285714,1153.58744,1577.35426
0.0337959184,1192.82511,1608.74439
0.0341632653,1232.06278,1640.13453
0.0345306122,1263.45291,1671.52466
0.0348979592,1302.69058,1702.9148
0.0352653061,1341.92825,1742.15247
0.0356326531,1389.01345,1789.23767
0.036,1428.25112,1812.78027
0.0363673469,1467.48879,1852.01794
0.0367346939,1506.72646,1891.25561
0.0371020408,1545.96413,1930.49327
0.0374693878,1577.35426,1961.88341
0.0378367347,1616.59193,2001.12108
0.0382040816,1655.8296,2024.66368
0.0385714286,1695.06726,2063.90135
0.0389387755,1742.15247,2095.29148
0.0393061224,1781.39013,2118.83408
0.0396734694,1820.6278,2158.07175
0.0400408163,1859.86547,2197.30942
0.0404081633,1899.10314,2220.85202
0.0407755102,1938.34081,2260.08969
0.0411428571,1977.57848,2283.63229
0.0415102041,2016.81614,2315.02242
0.041877551,2048.20628,2362.10762
0.042244898,2079.59641,2385.65022
0.0426122449,2110.98655,2409.19283
0.0429795918,2158.07175,2448.43049
0.0433469388,2181.61435,2471.97309
0.0437142857,2228.69955,2511.21076
0.0440816327,2267.93722,2534.75336
0.0444489796,2291.47982,2558.29596
0.0448163265,2322.86996,2581.83857
0.0451836735,2354.26009,2613.2287
0.0455510204,2385.65022,2636.7713
0.0459183673,2409.19283,2660.3139
0.0462857143,2448.43049,2683.8565
0.0466530612,2471.97309,2699.55157
0.0470204082,2503.36323,2723.09417
0.0473877551,2534.75336,2746.63677
0.047755102,2550.44843,2770.17937
0.048122449,2581.83857,2785.87444
0.0484897959,2605.38117,2809.41704
0.0488571429,2628.92377,2825.11211
0.0492244898,2660.3139,2840.80717
0.0495918367,2676.00897,2856.50224
0.0499591837,2707.3991,2880.04484
0.0503265306,2723.09417,2895.73991
0.0506938776,2754.4843,2911.43498
0.0510612245,2770.17937,2934.97758
0.0514285714,2801.56951,2950.67265
0.0517959184,2809.41704,2966.36771
0.0521632653,2832.95964,2989.91031
0.0525306122,2848.65471,3005.60538
0.0528979592,2872.19731,3021.30045
0.0532653061,2880.04484,3029.14798
0.0536326531,2895.73991,3044.84305
0.054,2911.43498,3052.69058
0.0543673469,2934.97758,3076.23318
0.0547346939,2950.67265,3091.92825
0.0551020408,2966.36771,3099.77578
0.0554693878,2982.06278,3107.62332
0.0558367347,3005.60538,3107.62332
0.0562040816,3021.30045,3099.77578
0.0565714286,3029.14798,3091.92825
0.0569387755,,3060.53812
0.0573061224,,3013.45291
0.0576734694,3068.38565,2982.06278
0.0580408163,3060.53812,2950.67265
0.0584081633,3052.69058,2919.28251
0.0587755102,3029.14798,2864.34978
0.0591428571,2997.75785,2801.56951
0.0595102041,2966.36771,2730.9417
0.059877551,2942.82511,2676.00897
0.060244898,2903.58744,2589.6861
0.0606122449,2832.95964,2464.12556
0.0609795918,2762.33184,2346.41256
0.0613469388,2676.00897,2228.69955
0.0617142857,2558.29596,2087.44395
