x,y,value,rgb_distance
0,1,,94.57933
0.168224299,1,810.810810811,13.79311
0.336448598,1,810.810810811,5.678908
0.504672897,1,810.810810811,5.678908
0.672897196,1,810.810810811,5.678908
0.841121495,1,843.243243243,4.716991
1.00934579,1,843.243243243,4.716991
1.17757009,1,843.243243243,4.716991
1.34579439,1,843.243243243,1.802776
1.51401869,1,843.243243243,1.118034
1.68224299,1,843.243243243,2.061553
1.85046729,1,875.675675676,3.162278
2.01869159,1,843.243243243,1.118034
2.18691589,1,843.243243243,2.061553
2.35514019,1,875.675675676,3.162278
2.52336449,1,875.675675676,2.236068
2.69158879,1,875.675675676,1.732051
2.85981308,1,875.675675676,2.236068
3.02803738,1,875.675675676,2.236068
3.19626168,1,875.675675676,2.236068
3.36448598,1,875.675675676,2.236068
3.53271028,1,875.675675676,4.582576
3.70093458,1,875.675675676,5.196152
3.86915888,1,875.675675676,6.082763
4.03738318,1,875.675675676,5.196152
4.20560748,1,875.675675676,5.196152
4.37383178,1,875.675675676,5.196152
4.54205607,1,875.675675676,5.09902
4.71028037,1,875.675675676,5.09902
4.87850467,1,875.675675676,4.123106
5.04672897,1,875.675675676,3.162278
5.21495327,1,875.675675676,4.123106
5.38317757,1,875.675675676,3.162278
5.55140187,1,875.675675676,1.414214
5.71962617,1,875.675675676,1.414214
5.88785047,1,875.675675676,1.414214
6.05607477,1,875.675675676,1.414214
6.22429907,1,875.675675676,1
6.39252336,1,875.675675676,1
6.56074766,1,875.675675676,1
6.72897196,1,875.675675676,1
6.89719626,1,875.675675676,1
7.06542056,1,875.675675676,1
7.23364486,1,875.675675676,1.414214
7.40186916,1,875.675675676,2.236068
7.57009346,1,875.675675676,2.236068
7.73831776,1,875.675675676,3.162278
7.90654206,1,875.675675676,3.162278
8.07476636,1,875.675675676,3.162278
8.24299065,1,875.675675676,3.162278
8.41121495,1,875.675675676,3.162278
8.57943925,1,875.675675676,3.162278
8.74766355,1,875.675675676,3.162278
8.91588785,1,875.675675676,5.09902
9.08411215,1,875.675675676,5.09902
9.25233645,1,875.675675676,5.09902
9.42056075,1,875.675675676,5.09902
9.58878505,1,875.675675676,5.09902
9.75700935,1,875.675675676,5.09902
9.92523364,1,875.675675676,3.162278
10.0934579,1,875.675675676,3.162278
10.2616822,1,875.675675676,3.162278
10.4299065,1,875.675675676,3.162278
10.5981308,1,875.675675676,3.162278
10.7663551,1,875.675675676,3.162278
10.9345794,1,875.675675676,3.162278
11.1028037,1,875.675675676,2.236068
11.271028,1,875.675675676,2.236068
11.4392523,1,875.675675676,2.236068
11.6074766,1,875.675675676,2.236068
11.7757009,1,875.675675676,2.236068
11.9439252,1,875.675675676,2.236068
12.1121495,1,875.675675676,1.414214
12.2803738,1,875.675675676,1.414214
12.4485981,1,875.675675676,1.414214
12.6168224,1,875.675675676,1.414214
12.7850467,1,875.675675676,1.414214
12.953271,1,875.675675676,1.414214
13.1214953,1,875.675675676,3.741657
13.2897196,1,875.675675676,3.741657
13.4579439,1,875.675675676,3.741657
13.6261682,1,875.675675676,3.741657
13.7943925,1,875.675675676,3.741657
13.9626168,1,875.675675676,3.741657
14.1308411,1,875.675675676,3.741657
14.2990654,1,843.243243243,5.315073
14.4672897,1,875.675675676,5.196152
14.635514,1,875.675675676,5.196152
14.8037383,1,875.675675676,3.316625
14.9719626,1,875.675675676,3
15.1401869,1,875.675675676,2.44949
15.3084112,1,843.243243243,6.264982
15.4766355,1,875.675675676,4.242641
15.6448598,1,875.675675676,3.316625
15.8130841,1,875.675675676,3
15.9813084,1,875.675675676,3
16.1495327,1,875.675675676,3
16.317757,1,875.675675676,2.236068
16.4859813,1,875.675675676,3.316625
16.6542056,1,875.675675676,4.358899
16.8224299,1,908.108108108,3.937004
16.9906542,1,908.108108108,1.870829
17.1588785,1,908.108108108,2.54951
17.3271028,1,940.540540541,2.692582
17.4953271,1,908.108108108,3.082207
17.6635514,1,908.108108108,2.915476
17.8317757,1,908.108108108,4.527693
18,1,,111.0101
0,0.962962963,,85.84434
0.168224299,0.962962963,843.243243243,1.118034
0.336448598,0.962962963,810.810810811,5.408327
0.504672897,0.962962963,810.810810811,5.408327
0.672897196,0.962962963,810.810810811,5.408327
0.841121495,0.962962963,810.810810811,5.408327
1.00934579,0.962962963,810.810810811,5.408327
1.17757009,0.962962963,810.810810811,5.408327
1.34579439,0.962962963,810.810810811,3.905125
1.51401869,0.962962963,810.810810811,5.220153
1.68224299,0.962962963,843.243243243,5.85235
1.85046729,0.962962963,843.243243243,5.85235
2.01869159,0.962962963,843.243243243,6.020797
2.18691589,0.962962963,843.243243243,6.5
2.35514019,0.962962963,843.243243243,7.228416
2.52336449,0.962962963,843.243243243,3.905125
2.69158879,0.962962963,875.675675676,4.242641
2.85981308,0.962962963,875.675675676,4.472136
3.02803738,0.962962963,875.675675676,5.09902
3.19626168,0.962962963,875.675675676,5.09902
3.36448598,0.962962963,875.675675676,5.09902
3.53271028,0.962962963,875.675675676,4.123106
3.70093458,0.962962963,875.675675676,6.708204
3.86915888,0.962962963,875.675675676,8.062258
4.03738318,0.962962963,875.675675676,6.708204
4.20560748,0.962962963,875.675675676,6.708204
4.37383178,0.962962963,875.675675676,6.708204
4.54205607,0.962962963,875.675675676,5.830952
4.71028037,0.962962963,875.675675676,2.828427
4.87850467,0.962962963,875.675675676,1.414214
5.04672897,0.962962963,875.675675676,0
5.21495327,0.962962963,875.675675676,0
5.38317757,0.962962963,875.675675676,1.414214
5.55140187,0.962962963,875.675675676,3.162278
5.71962617,0.962962963,843.243243243,7.228416
5.88785047,0.962962963,843.243243243,6.184658
6.05607477,0.962962963,843.243243243,4.716991
6.22429907,0.962962963,843.243243243,4.716991
6.39252336,0.962962963,843.243243243,4.716991
6.56074766,0.962962963,843.243243243,4.716991
6.72897196,0.962962963,843.243243243,1.802776
6.89719626,0.962962963,843.243243243,1.802776
7.06542056,0.962962963,843.243243243,1.802776
7.23364486,0.962962963,843.243243243,2.692582
7.40186916,0.962962963,843.243243243,3.905125
7.57009346,0.962962963,843.243243243,3.905125
7.73831776,0.962962963,875.675675676,1.414214
7.90654206,0.962962963,875.675675676,1.414214
8.07476636,0.962962963,875.675675676,1.414214
8.24299065,0.962962963,875.675675676,1.414214
8.41121495,0.962962963,875.675675676,0
8.57943925,0.962962963,875.675675676,0
8.74766355,0.962962963,875.675675676,0
8.91588785,0.962962963,875.675675676,2.828427
9.08411215,0.962962963,875.675675676,2.828427
